Number of labels,Accuracy,Accuracy with class priors,Class priors error
20,54.50,82.92,0.00099
50,65.99,86.53,0.00099
10,54.54,72.34,0.00097
10,38.11,76.56,0.00099
30,53.03,82.33,0.00096
30,64.64,84.51,0.00099
50,74.91,88.36,0.00099
40,66.67,81.78,0.00099
50,71.09,86.24,0.00099
40,68.25,88.35,0.00099
20,53.18,83.56,0.00099
30,63.94,81.89,0.00099
50,69.70,87.21,0.00099
50,63.81,83.16,0.00097
10,41.44,78.69,0.00099
30,66.74,85.55,0.00099
40,64.92,82.20,0.00097
10,41.00,76.26,0.00099
10,53.40,78.11,0.00099
40,67.97,84.04,0.00099
20,46.82,78.25,0.00099
10,49.59,65.82,0.00099
20,55.13,81.20,0.00097
30,52.71,83.15,0.00099
40,60.35,84.88,0.00099
40,59.92,84.52,0.00097
30,70.14,82.67,0.00099
50,71.14,86.21,0.00097
50,61.47,82.75,0.00099
50,64.28,84.39,0.00099
50,61.90,81.76,0.00097
20,55.03,85.38,0.00099
10,54.14,76.86,0.00097
20,59.33,83.49,0.00099
30,63.82,79.34,0.00097
40,68.07,88.37,0.00099
20,50.97,82.42,0.00099
10,51.74,75.38,0.00099
30,65.85,81.49,0.00099
40,67.39,84.51,0.00099
40,65.66,84.66,0.00099
30,68.63,86.66,0.00097
40,72.86,84.81,0.00099
40,67.20,83.27,0.00099
40,69.85,82.30,0.00097
50,69.07,85.94,0.00097
30,56.55,84.61,0.00097
10,53.39,81.51,0.00099
20,55.54,87.35,0.00099
20,60.63,84.36,0.00099
30,60.89,81.05,0.00097
30,64.44,85.93,0.00096
10,44.19,75.01,0.00099
50,65.44,85.23,0.00099
20,62.26,83.89,0.00099
50,69.62,85.04,0.00099
10,53.96,74.05,0.00099
10,47.12,80.65,0.00099
40,71.81,84.83,0.00099
20,54.22,77.04,0.00099
40,66.11,86.65,0.00099
50,65.72,85.44,0.00099
50,68.12,84.13,0.00097
20,57.49,82.53,0.00099
10,49.71,77.13,0.00099
50,66.16,82.67,0.00099
30,69.13,85.41,0.00097
20,54.10,75.44,0.00099
10,50.98,79.64,0.00099
30,66.05,86.19,0.00099
30,69.16,87.66,0.00097
20,72.77,86.38,0.00099
10,44.37,80.79,0.00097
30,67.09,86.92,0.00099
50,67.43,88.28,0.00099
30,62.00,82.34,0.00099
20,50.88,77.52,0.00097
20,48.92,75.37,0.00099
50,69.50,86.01,0.00099
40,67.48,87.04,0.00099
50,66.36,82.59,0.00099
40,68.80,87.20,0.00099
30,61.11,85.22,0.00099
10,55.39,84.31,0.00097
40,68.36,85.73,0.00099
10,44.71,76.84,0.00097
50,70.19,87.01,0.00099
40,63.61,85.72,0.00099
10,48.99,65.89,0.00099
40,62.22,83.90,0.00099
40,68.74,85.12,0.00099
30,57.87,85.02,0.00097
30,61.45,79.75,0.00099
10,51.20,66.46,0.00099
50,67.99,83.63,0.00099
40,64.73,83.49,0.00099
10,46.73,74.65,0.00099
50,67.66,86.85,0.00099
20,63.44,82.18,0.00097
50,72.27,87.83,0.00099
50,70.45,87.08,0.00099
40,65.99,85.43,0.00097
30,62.77,84.31,0.00099
10,39.97,69.98,0.00099
20,61.99,85.79,0.00099
20,54.71,80.83,0.00097
20,48.69,78.69,0.00097
20,52.25,85.48,0.00099
30,59.49,81.82,0.00099
40,68.01,87.28,0.00099
20,58.66,84.05,0.00097
40,66.86,83.54,0.00099
20,59.26,78.50,0.00099
50,66.58,85.83,0.00099
20,56.08,78.54,0.00097
40,68.11,85.17,0.00099
20,59.78,81.42,0.00099
40,65.52,83.01,0.00099
10,44.79,67.56,0.00096
30,62.85,84.25,0.00097
10,52.00,77.93,0.00099
20,60.79,82.05,0.00099
30,56.91,84.10,0.00099
40,64.24,84.65,0.00099
10,36.77,75.01,0.00096
10,40.60,76.23,0.00099
20,65.77,83.96,0.00099
10,49.68,75.59,0.00099
30,65.79,80.72,0.00097
10,35.44,68.85,0.00094
30,62.83,86.36,0.00099
50,70.49,85.03,0.00099
30,64.44,81.99,0.00099
30,53.09,82.91,0.00099
30,70.31,83.78,0.00099
10,49.59,74.86,0.00097
50,72.58,85.64,0.00099
50,66.69,84.12,0.00099
20,55.10,71.93,0.00099
20,55.92,81.73,0.00097
10,46.52,66.45,0.00099
40,73.54,89.32,0.00099
10,50.17,73.60,0.00099
20,52.01,76.20,0.00097
50,66.07,85.97,0.00099
30,71.32,85.88,0.00099
50,65.29,84.21,0.00097
10,39.88,69.66,0.00097
40,67.92,83.08,0.00099
40,63.53,82.75,0.00099
50,68.93,87.23,0.00099
50,73.63,86.96,0.00099
20,59.20,80.94,0.00099
30,63.56,83.94,0.00099
20,59.10,79.88,0.00099
40,63.78,85.32,0.00099
40,66.93,79.00,0.00099
50,68.34,87.33,0.00099
30,68.20,84.63,0.00096
40,65.16,85.87,0.00099
40,68.10,86.46,0.00099
20,65.40,84.50,0.00099
50,66.56,86.56,0.00096
30,64.37,86.08,0.00099
30,62.36,82.76,0.00099
50,72.78,89.24,0.00096
10,37.07,73.87,0.00099
40,64.71,85.75,0.00099
50,70.19,87.94,0.00099
50,64.74,86.72,0.00099
