Number of labels,Accuracy
30,70.57
20,53.41
20,62.01
10,62.98
50,74.76
30,68.47
40,69.04
40,67.26
20,59.47
40,70.80
30,73.65
20,68.97
20,62.85
30,68.24
30,69.75
10,64.26
50,70.74
40,74.13
30,72.05
10,61.56
30,71.29
10,55.18
20,70.92
40,72.13
10,63.46
40,72.07
20,70.72
30,66.10
50,72.09
50,70.13
50,71.26
30,74.32
50,73.35
20,63.59
40,70.67
20,61.60
30,66.55
10,63.53
10,65.75
10,57.29
40,71.44
40,70.53
20,71.85
40,71.42
10,61.51
50,73.86
40,71.84
10,63.88
30,73.59
20,65.89
50,68.90
20,68.31
30,68.97
10,52.33
20,54.53
40,69.98
50,73.40
50,73.62
50,72.89
30,65.44
40,70.40
20,72.36
20,66.48
50,76.40
30,68.29
30,70.08
30,68.11
50,73.36
10,59.37
10,47.72
50,72.48
10,56.00
40,68.92
10,56.88
30,71.08
40,68.97
20,67.09
20,62.63
30,71.76
20,66.73
40,73.78
50,70.26
40,69.62
20,69.86
30,72.30
10,53.26
40,66.07
40,70.21
20,62.12
50,75.84
10,54.57
30,67.61
10,61.01
50,74.66
30,71.78
30,66.64
50,69.63
10,55.99
30,70.70
40,71.15
40,68.38
20,64.17
50,71.86
30,64.93
50,75.59
20,70.35
20,63.05
20,67.77
10,52.14
10,56.16
40,65.68
20,70.13
30,72.61
40,68.25
50,72.24
10,62.65
50,74.40
10,58.83
20,69.99
30,72.09
40,72.73
40,68.67
20,65.86
30,69.53
50,69.11
30,73.72
40,74.83
50,72.58
40,71.60
40,70.51
50,75.40
50,76.20
10,62.66
20,68.62
10,61.32
50,74.41
20,61.85
10,59.31
40,66.28
30,69.15
40,69.60
10,56.58
20,62.06
30,68.41
30,67.75
30,72.45
50,68.50
10,67.19
50,75.58
10,55.73
20,64.16
50,67.42
50,70.27
20,68.54
40,73.32
30,71.60
30,68.90
40,68.10
40,72.02
10,60.56
40,74.09
20,68.85
50,73.31
20,65.32
30,67.51
30,70.58
10,66.23
20,68.43
50,71.25
10,49.22
20,70.33
50,74.65
10,62.61
10,62.18
40,72.61
50,74.15
20,68.65
30,66.99
30,62.97
40,71.46
10,59.24
40,71.50
40,74.30
20,53.77
30,66.71
50,73.55
