Number of labels,Accuracy,Accuracy with class priors,Class priors error
50,61.13,66.50,0.00099
50,61.22,70.93,0.00099
30,58.32,62.83,0.00099
10,43.34,60.44,0.00099
40,61.65,64.72,0.00099
20,46.75,51.03,0.00099
40,55.98,62.19,0.00099
30,57.09,69.01,0.00099
50,65.73,69.02,0.00096
20,44.49,62.00,0.00099
30,50.47,66.37,0.00099
10,43.16,61.19,0.00099
40,66.11,67.14,0.00099
10,39.23,54.24,0.00099
50,56.85,69.05,0.00099
30,63.18,66.71,0.00099
50,58.67,61.55,0.00099
10,45.66,54.57,0.00097
20,56.57,70.50,0.00099
30,61.04,66.91,0.00099
40,63.17,71.77,0.00099
40,58.26,67.05,0.00097
50,59.92,65.13,0.00099
20,49.63,61.58,0.00099
10,51.19,64.84,0.00099
30,55.47,65.74,0.00099
50,63.24,70.46,0.00099
10,27.90,62.67,0.00099
40,60.65,67.25,0.00099
20,48.94,61.27,0.00097
20,44.64,56.79,0.00099
30,62.16,68.29,0.00099
40,52.25,64.57,0.00099
20,51.65,64.48,0.00099
10,42.88,50.60,0.00099
50,63.53,66.92,0.00099
30,56.58,65.62,0.00096
40,61.77,72.82,0.00099
40,53.63,68.37,0.00099
30,53.94,60.26,0.00099
10,49.73,60.35,0.00099
50,66.84,68.04,0.00099
20,60.83,64.75,0.00099
20,64.98,67.88,0.00099
10,33.15,61.09,0.00099
50,62.08,69.15,0.00099
30,63.34,68.02,0.00097
50,69.49,70.57,0.00099
10,57.55,61.86,0.00099
40,62.49,67.18,0.00099
20,48.33,55.11,0.00099
50,63.41,69.55,0.00097
30,61.69,64.78,0.00099
40,65.55,70.49,0.00097
