Number of labels,Accuracy
20,48.25
10,37.45
30,46.41
10,44.93
50,56.17
30,51.79
50,53.37
40,53.38
50,59.34
50,50.98
20,41.46
40,53.46
10,37.71
30,42.99
40,53.10
40,53.22
20,48.49
10,40.04
20,48.56
20,52.62
30,53.45
40,50.21
10,38.72
20,36.17
30,51.67
50,51.14
30,54.40
40,51.57
30,49.60
50,55.11
10,37.63
10,37.58
10,33.36
20,45.96
50,53.43
10,43.51
30,53.84
40,53.71
10,36.01
50,53.28
20,45.75
30,52.30
40,53.84
40,54.67
50,53.74
20,49.73
30,47.36
20,45.39
10,35.06
40,52.99
50,54.68
10,41.76
30,44.87
20,40.45
30,51.37
40,52.87
10,41.26
50,56.32
10,47.64
50,48.88
30,48.13
20,51.23
50,47.78
40,48.14
20,37.75
50,50.56
40,55.38
40,49.87
10,36.16
20,41.82
30,52.95
10,44.70
40,54.97
30,54.58
30,52.33
10,45.39
20,52.24
50,49.53
40,54.45
50,55.73
20,32.75
40,46.83
20,54.18
20,46.80
30,42.92
50,54.06
50,52.46
30,47.71
10,35.87
20,52.58
40,54.36
10,40.51
20,39.48
10,45.70
30,48.28
40,48.90
50,55.22
50,50.86
30,52.18
10,36.78
40,51.88
20,50.53
50,55.60
30,56.16
20,47.34
40,44.87
50,58.87
40,55.52
40,46.93
10,40.07
30,48.04
20,40.91
20,47.37
30,52.85
50,52.87
50,52.45
10,47.49
40,53.25
10,45.82
50,55.55
10,48.12
10,38.97
50,56.49
30,48.56
20,47.26
30,50.10
30,42.98
20,49.68
30,48.90
10,38.09
40,57.36
40,53.86
20,52.30
50,52.76
40,51.96
40,49.58
30,54.33
10,37.66
50,53.90
30,50.98
20,50.81
40,56.13
50,54.43
30,44.43
40,53.43
10,44.20
20,47.25
10,35.16
50,51.52
20,53.79
50,57.82
20,50.94
10,43.84
50,51.28
10,31.73
50,49.51
20,46.09
30,54.34
40,58.20
10,38.06
40,47.14
20,41.48
30,52.26
30,49.50
50,56.36
40,48.38
10,44.61
30,45.23
20,48.83
20,40.64
40,54.83
10,41.81
30,48.43
50,53.92
10,47.22
40,54.24
40,49.61
10,30.78
40,53.03
50,54.18
30,52.35
20,42.62
50,54.00
30,51.59
20,45.93
50,51.54
30,53.26
10,36.98
10,34.72
20,46.87
10,44.44
40,52.78
40,53.88
20,50.94
50,52.34
40,45.46
30,48.52
50,52.51
20,52.14
50,50.42
20,43.55
10,41.01
30,50.58
20,54.33
30,54.20
20,49.28
40,47.80
50,54.15
10,36.83
30,44.69
40,54.91
10,39.89
50,53.30
40,49.52
10,50.52
20,52.33
10,34.15
30,48.43
20,43.42
30,51.10
50,51.59
30,52.39
40,50.12
50,49.73
50,54.98
40,56.47
50,55.83
10,39.57
40,54.08
50,55.30
10,50.50
20,39.20
30,41.64
20,48.00
40,46.87
40,47.05
30,53.53
10,47.57
40,46.24
10,36.82
20,48.94
30,53.83
30,53.33
50,51.30
20,51.57
50,55.56
20,46.43
10,46.91
40,53.77
20,48.67
10,47.07
10,41.02
30,52.63
30,41.72
30,49.75
50,54.73
10,44.31
40,53.37
40,48.15
50,56.37
20,47.54
40,54.83
20,48.35
30,51.27
40,54.57
20,39.11
50,55.54
50,56.04
30,42.83
10,40.92
50,54.17
10,32.65
10,40.35
30,53.40
20,35.42
20,40.26
30,47.65
30,54.20
50,55.41
10,42.93
40,50.44
20,44.57
40,49.22
40,56.97
10,47.00
50,52.24
30,49.26
10,53.68
50,55.19
20,47.00
10,36.04
20,45.29
30,54.10
20,53.16
40,47.94
50,55.47
30,49.52
50,54.50
40,51.39
50,51.69
20,49.69
10,47.88
40,50.59
20,46.49
30,46.69
20,47.33
30,48.12
10,43.27
50,56.24
40,53.94
40,48.98
40,53.43
10,42.92
10,47.89
30,52.07
50,58.10
30,44.67
50,52.86
50,54.08
20,36.36
40,48.96
