Number of labels,Accuracy
50,95.25
20,92.78
40,96.27
40,95.98
40,96.37
30,96.43
50,96.49
50,96.19
10,95.66
40,96.42
50,96.41
30,96.43
10,94.00
20,95.52
50,96.10
20,95.91
10,94.13
50,96.39
40,96.28
40,95.96
30,94.90
20,94.08
10,94.96
20,94.17
50,96.08
30,92.22
20,86.67
40,96.49
10,95.13
40,96.39
30,96.22
20,94.79
30,95.47
30,96.34
50,96.67
10,95.10
40,93.33
40,96.63
10,94.81
10,91.11
20,96.28
30,95.14
20,93.77
50,95.69
50,96.35
40,95.47
30,95.06
50,96.59
10,88.71
30,96.19
20,94.47
10,95.81
40,96.59
20,95.79
20,96.34
50,96.59
40,96.00
50,95.91
30,95.98
10,86.91
30,96.46
40,96.65
10,93.95
10,95.50
50,96.54
10,92.88
30,96.39
20,95.28
40,95.01
40,96.22
30,95.39
50,96.15
20,95.81
40,94.79
50,95.89
30,94.97
20,94.08
10,95.08
30,96.66
20,95.98
50,96.13
50,96.38
30,95.93
10,80.62
50,96.79
20,96.04
10,89.01
40,95.78
10,79.46
40,96.58
40,96.31
30,95.65
50,96.59
20,93.89
20,96.07
30,95.82
40,95.75
10,84.20
40,95.90
30,95.83
50,96.11
10,92.65
20,94.05
30,96.08
40,96.17
10,82.53
50,95.95
20,96.49
20,96.25
50,96.23
50,96.75
40,96.48
40,96.31
50,96.16
10,84.90
30,96.35
20,94.58
10,95.98
30,96.29
10,91.12
20,95.24
20,95.87
40,96.23
30,96.41
30,95.56
40,96.34
20,92.97
10,95.37
40,95.79
50,96.54
50,96.58
10,96.05
50,96.47
30,95.78
30,95.93
50,96.49
20,93.72
10,95.60
30,96.17
10,90.48
40,96.50
20,95.12
50,95.95
50,96.30
20,93.60
30,96.31
40,96.12
30,96.64
10,92.75
40,96.23
20,94.99
20,96.01
30,95.26
10,95.06
20,95.47
40,94.85
50,96.40
10,95.91
10,94.63
30,95.44
10,93.54
50,95.69
20,96.32
50,96.57
40,96.27
30,95.97
40,95.34
30,95.11
50,96.82
40,96.17
30,96.14
50,96.57
40,95.93
40,95.60
20,96.02
10,95.50
50,96.25
20,96.11
20,95.63
10,95.76
30,95.73
20,95.38
30,93.18
10,94.99
50,96.10
40,95.39
30,94.78
10,95.54
40,95.46
50,96.40
30,94.96
40,96.27
40,95.48
20,96.47
50,95.86
10,95.72
30,96.03
40,95.99
50,95.46
20,95.37
20,96.26
10,84.28
40,94.81
10,92.52
10,92.81
30,94.42
30,95.26
20,95.81
50,95.21
20,94.39
10,96.40
20,94.34
50,96.29
30,96.04
10,92.78
50,96.30
40,95.82
50,96.48
20,95.25
50,96.12
40,95.91
30,96.34
40,96.45
30,96.58
10,94.50
30,95.93
50,96.26
20,96.22
20,95.44
40,96.42
10,95.00
40,96.40
10,96.50
50,96.77
40,95.40
20,95.25
10,94.97
50,96.52
30,95.80
30,96.18
10,95.94
30,96.09
40,96.24
20,95.07
50,96.84
40,96.30
20,96.40
40,95.83
10,86.66
10,92.37
20,95.87
40,96.01
20,96.53
50,95.73
50,96.31
10,95.55
30,96.13
50,96.36
50,96.37
10,90.77
20,95.32
30,95.18
30,95.95
40,95.36
10,94.95
30,96.16
50,96.49
20,95.32
40,96.26
10,95.16
30,95.52
20,94.71
50,96.58
40,95.99
20,92.80
10,96.17
30,95.16
20,96.21
50,96.09
10,93.05
40,95.95
30,96.32
30,96.04
40,96.19
20,95.22
10,94.30
50,96.46
50,96.22
40,95.95
30,95.93
20,94.13
20,96.20
50,95.55
30,94.44
20,95.65
40,95.54
50,96.05
30,95.71
10,95.43
10,89.54
10,81.07
40,96.18
10,94.22
50,95.85
40,96.32
20,94.52
20,94.86
30,96.18
50,96.62
30,96.34
40,94.72
20,95.51
50,96.18
10,94.27
10,86.48
10,92.74
40,96.02
40,95.92
50,96.05
30,96.30
50,96.01
20,95.57
30,95.87
40,95.88
50,96.25
20,91.34
30,95.01
40,96.06
10,92.73
20,93.20
50,96.49
30,92.96
40,96.49
