Number of labels,Accuracy,Accuracy with class priors,Class priors error
30,80.81,95.37,0.00099
10,60.20,94.24,0.00099
40,80.29,95.92,0.00099
50,82.89,95.44,0.00099
50,88.17,96.19,0.00099
20,59.15,92.69,0.00099
20,75.92,95.20,0.00099
40,87.66,95.87,0.00099
30,82.11,95.26,0.00099
40,80.58,95.51,0.00099
30,79.72,95.60,0.00099
10,63.64,96.03,0.00099
20,65.36,95.60,0.00099
10,53.27,94.17,0.00099
30,75.06,95.52,0.00099
40,86.75,95.78,0.00099
20,70.54,94.35,0.00099
50,85.30,96.05,0.00099
40,79.89,96.29,0.00099
30,80.56,95.96,0.00099
20,72.19,94.26,0.00099
50,80.24,95.72,0.00099
10,39.60,94.04,0.00099
40,82.30,95.46,0.00099
20,58.79,93.16,0.00099
10,51.23,79.88,0.00099
10,47.97,94.45,0.00099
50,85.32,95.52,0.00097
40,89.81,96.33,0.00099
30,83.45,95.63,0.00099
30,74.50,94.85,0.00099
50,79.68,94.25,0.00097
30,70.42,94.91,0.00099
50,88.06,96.12,0.00099
10,43.50,94.69,0.00099
20,78.08,94.89,0.00097
10,41.46,91.44,0.00099
40,75.87,95.67,0.00099
50,88.06,95.69,0.00099
20,76.50,94.45,0.00099
10,58.34,93.44,0.00099
30,84.05,96.16,0.00099
40,69.71,93.16,0.00099
20,67.04,91.00,0.00099
30,80.14,94.36,0.00099
10,62.37,93.06,0.00099
20,60.74,93.49,0.00099
50,89.64,95.93,0.00099
40,84.23,95.88,0.00099
30,88.21,95.34,0.00097
40,88.88,95.88,0.00099
10,53.75,93.41,0.00099
20,62.60,94.60,0.00097
40,82.55,95.94,0.00099
50,89.81,96.03,0.00099
10,44.03,88.69,0.00099
50,87.47,96.13,0.00099
30,81.49,95.04,0.00099
20,69.94,93.15,0.00099
40,77.36,94.59,0.00099
30,84.89,95.63,0.00099
20,74.84,94.94,0.00099
50,87.85,96.04,0.00099
30,82.94,94.47,0.00099
40,86.51,95.94,0.00099
10,52.97,92.39,0.00099
50,82.62,96.20,0.00099
