Number of labels,Accuracy
30,37.10
40,67.73
50,74.74
50,53.84
30,41.29
20,44.80
40,54.26
20,33.33
30,61.23
40,79.91
10,17.40
40,44.47
10,25.25
20,21.47
30,23.02
50,86.83
50,71.35
10,12.46
40,83.75
10,17.31
20,20.36
10,21.02
20,40.99
30,54.67
50,79.65
30,69.00
30,26.14
40,62.01
40,71.65
50,62.51
20,23.97
10,22.60
50,73.95
20,31.34
20,25.96
30,40.02
50,89.81
40,56.24
20,55.97
40,36.76
10,13.00
30,29.13
40,56.02
10,12.61
30,36.87
50,76.42
40,82.81
50,78.49
50,79.19
30,35.10
10,11.34
20,12.16
30,48.23
50,82.66
20,47.26
10,10.74
20,30.98
30,47.62
40,55.47
10,10.18
50,75.97
20,45.06
30,36.28
40,48.43
40,54.46
10,10.30
20,25.05
50,85.54
30,23.16
10,23.26
50,50.12
50,72.31
10,25.17
40,52.39
10,15.43
40,61.71
10,9.96
20,43.76
30,60.47
20,21.53
40,52.40
50,72.86
40,83.76
50,73.70
30,46.08
10,12.32
20,32.91
40,65.25
30,49.91
50,80.07
30,35.90
10,17.82
20,11.01
10,10.10
50,64.98
30,57.48
40,38.89
20,10.70
10,12.02
20,43.79
30,53.14
20,39.42
30,58.31
40,45.77
50,70.41
10,34.04
50,80.08
40,38.74
10,24.52
20,24.79
50,65.15
40,72.67
20,31.73
10,10.52
20,40.86
30,31.01
40,54.47
30,24.01
30,21.66
50,74.16
10,31.54
10,10.50
50,78.24
30,61.60
40,70.31
40,56.14
50,69.53
30,37.12
20,29.13
30,23.68
10,10.31
20,28.93
20,14.86
50,91.07
40,50.77
40,76.14
50,88.05
40,55.32
20,13.83
10,31.67
30,54.36
10,11.05
10,20.55
40,37.20
50,83.42
30,54.31
20,13.00
30,39.21
30,17.15
40,48.51
20,23.50
50,73.88
50,64.44
10,20.47
40,68.00
20,31.02
50,69.28
10,21.52
30,50.43
20,12.40
50,47.98
10,17.88
10,14.70
40,61.46
40,45.99
50,65.04
30,19.94
20,24.76
30,38.03
20,32.30
10,10.45
20,31.59
40,69.53
50,78.74
50,78.21
30,41.04
10,12.91
40,49.60
40,52.15
30,54.44
50,61.76
20,40.51
20,32.32
30,22.43
10,32.79
10,18.45
20,35.76
40,49.86
50,72.39
40,52.27
20,14.19
30,44.65
50,57.89
30,28.88
10,12.09
10,11.79
50,69.77
10,20.97
40,41.78
30,32.50
20,13.62
50,40.67
40,50.67
30,62.44
40,48.52
40,73.38
50,77.10
20,15.73
50,49.70
10,19.12
10,17.05
40,65.50
30,53.39
20,24.89
20,13.83
50,78.69
30,48.30
10,18.20
10,20.02
30,37.64
50,75.62
40,78.90
20,27.47
10,20.03
50,68.84
20,22.05
40,55.28
20,25.65
30,52.31
50,53.76
30,33.13
40,36.61
10,16.81
30,52.66
50,88.08
30,40.99
20,10.80
50,62.82
30,30.32
20,18.94
10,18.40
10,9.24
40,43.15
20,17.24
40,53.94
10,21.05
40,83.64
50,69.77
40,81.14
30,35.54
20,17.82
10,21.41
40,77.97
50,73.20
30,62.24
20,29.26
40,59.70
20,30.97
50,55.81
10,10.33
20,22.92
10,11.54
50,76.14
30,12.53
30,37.55
40,58.26
10,19.69
50,75.65
10,15.12
30,26.22
40,66.93
20,32.33
30,44.66
50,62.85
20,25.60
40,53.19
10,14.61
50,91.73
20,30.59
10,13.10
50,93.77
10,31.37
20,18.02
50,65.84
40,74.97
30,36.47
50,62.29
30,44.25
10,10.48
40,72.86
30,41.93
20,15.69
30,60.35
10,13.36
20,23.81
40,67.47
50,57.14
40,59.23
20,30.30
30,47.69
50,82.18
40,59.14
